"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"1","10","3","3","6","1","93","M","2","L","L","L","L","L","L","L","L","57","5","17","7","5","577240","1","1","1","2","1","1","1","1","1","57","5","9",31,52,40,110000
"2","11","3","6","3","1","93","M","1","L","L","L","L","L","L","L","L","41","4","15","4","1","419230","1","1","1","1","1","1","1","1","2","11","1","3",34,52,40,100000
"3","10","3","4","7","5","93","M","2","L","L","L","L","L","L","L","L","11","1","15","4","6","116730","2","1","2","1","1","2","1","3","2","11","1","7",31,52,40,224700
"4","17","2","3","1","5","93","F","3","L","L","L","L","L","L","L","L","33","3","15","6","6","338780","1","1","1","1","1","1","2","1","1","33","3","8",32,52,40,137000
"5","11","3","5","3","4","85","F","2","L","L","L","L","L","L","L","L","73","7","17","3","2","739100","1","1","1","1","1","1","1","1","1","75","7","6",30,52,30,44000
"6","17","2","3","7","7","87","F","1","L","L","L","L","L","L","L","L","44","4","18","3","4","449290","1","1","1","1","1","1","1","1","2","76","7","4",32,52,40,72000
"7","17","2","1","1","1","85","F","2","L","L","L","L","L","L","L","L","12","1","15","2","1","128420","1","1","1","2","1","2","1","1","2","65","6","8",31,52,40,130000
"8","15","2","1","7","5","88","M","1","L","L","L","L","L","L","L","L","31","3","22","5","4","318730","1","1","1","1","1","1","1","1","1","34","3","1",35,52,40,82000
"9","10","3","6","3","5","87","M","1","L","L","L","L","L","L","L","L","76","7","15","5","2","766820","2","1","2","3","1","3","1","1","3","61","6","5",30,52,40,95000
"10","10","3","4","3","5","93","F","2","L","L","L","L","L","L","L","L","61","6","15","7","5","617900","1","1","1","1","1","1","2","1","1","12","1","5",34,52,40,150000
"11","11","3","6","7","4","97","M","2","L","L","L","L","L","L","L","L","61","6","15","1","1","617910","1","1","1","1","1","1","1","1","1","75","7","8",34,52,40,74000
"12","10","3","4","3","1","97","M","2","L","L","L","L","L","L","L","L","56","5","15","1","1","567350","1","1","2","2","1","2","1","1","2","62","6","10",34,52,60,150000
"13","10","3","6","7","5","88","F","2","L","L","L","L","L","L","L","L","72","7","16","8","3","727030","2","1","2","1","1","1","1","1","1","75","7","7",31,52,40,73000
"14","03","1","2","1","1","88","M","3","L","L","L","L","L","L","L","L","54","5","15","4","4","547280","1","2","2","2","1","3","1","2","2","58","5","7",35,36,40,93000
"15","14","2","3","3","5","91","M","1","L","L","L","L","L","L","L","L","31","3","15","3","2","318730","1","1","1","2","1","2","1","1","2","62","6","1",35,52,45,78000
"16","10","3","4","1","5","98","F","1","L","L","L","L","L","L","L","L","33","3","21","5","4","338780","3","1","1","2","1","3","2","2","2","64","6","4",32,52,42,151000
"17","11","3","6","2","5","87","F","2","Y","Y","Y","N","N","Y","N","Y","61","6","18","2","2","617870","1","1","2","2","2","2","1","1","2","61","6","3",33,52,44,75000
"18","10","3","4","1","4","96","F","2","L","L","L","L","L","L","L","L","11","1","22","3","3","116730","2","1","2","2","1","2","1","1","2","54","5","2",33,52,45,92000
"19","02","1","5","3","5","93","M","2","L","L","L","L","L","L","L","L","11","1","16","4","5","116730","2","1","2","2","1","2","2","2","3","11","1","0",33,46,35,43000
"20","10","3","3","3","1","93","F","1","L","L","L","L","L","L","L","L","41","4","19","3","4","419230","1","1","1","1","1","1","1","1","1","71","7","0",29,52,40,140000
"21","14","2","3","1","4","93","F","1","L","L","L","L","L","L","L","L","44","4","18","3","3","449290","1","1","1","1","1","1","1","1","1","78","7","4",32,52,50,43000
"22","10","3","3","5","1","93","M","2","L","L","L","L","L","L","L","L","54","5","18","4","4","547280","2","2","2","2","2","2","1","2","2","64","6","0",35,52,40,200000
"23","10","3","1","3","4","93","M","2","L","L","L","L","L","L","L","L","32","3","16","3","3","328760","1","1","1","1","2","1","1","1","1","62","6","5",33,52,40,93000
"24","04","1","6","3","4","93","F","3","L","L","L","L","L","L","L","L","61","6","17","2","1","617870","1","1","1","1","1","1","1","1","1","61","6","0",29,52,36,180000
"25","10","3","1","1","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","1","1","547270","1","1","1","1","2","1","1","1","1","11","1","10",32,52,40,180000
"26","11","3","3","3","4","93","F","2","L","L","L","L","L","L","L","L","72","7","18","1","1","727030","1","1","1","1","1","1","1","1","1","71","7","9",34,52,40,92000
"27","13","3","5","1","5","93","M","2","L","L","L","L","L","L","L","L","72","7","17","4","4","727130","1","2","2","2","1","2","1","1","2","11","1","10",34,52,40,81000
"28","10","3","4","5","1","88","M","2","L","L","L","L","L","L","L","L","11","1","16","4","4","116770","1","1","1","1","1","1","1","1","1","54","5","6",33,52,40,92000
"29","10","3","4","5","1","85","M","2","L","L","L","L","L","L","L","L","74","7","18","4","4","746580","2","1","1","1","3","1","1","1","2","12","1","4",32,52,40,78000
"30","10","3","6","1","1","98","F","2","L","L","L","L","L","L","L","L","61","6","25","5","4","617910","2","3","1","1","1","1","1","1","1","61","6","8",35,52,8,24000
"31","10","3","6","3","5","88","F","4","L","L","L","L","L","L","L","L","76","7","16","7","5","768100","1","1","3","2","2","2","1","1","3","78","7","8",30,52,50,85000
"32","01","1","2","3","5","92","F","1","L","L","L","L","L","L","L","L","62","6","15","4","4","627060","2","2","1","2","1","2","2","1","1","63","6","3",32,40,40,38000
"33","13","3","3","3","5","92","M","1","L","L","L","L","L","L","L","L","57","5","15","3","3","577410","2","2","2","1","1","2","2","1","2","72","7","2",35,52,40,99000
"34","10","3","4","3","5","98","M","1","L","L","L","L","L","L","L","L","11","1","18","2","2","116730","2","1","2","1","2","2","1","2","2","11","1","5",32,52,40,133000
"35","04","1","3","2","1","87","F","4","L","L","L","L","L","L","L","L","61","6","16","7","5","617860","1","1","1","1","1","1","1","1","1","61","6","8",32,52,60,80000
"36","14","2","1","2","4","93","F","1","L","L","L","L","L","L","L","L","61","6","26","2","3","617870","1","1","1","1","1","1","2","1","1","61","6","4",34,52,36,130000
"37","10","3","4","7","5","98","M","2","L","L","L","L","L","L","L","L","12","1","15","5","4","128440","1","1","1","1","1","1","2","1","2","64","6","9",33,52,35,115360
"38","17","2","1","3","3","91","M","2","L","L","L","L","L","L","L","L","76","7","19","2","2","769010","1","1","1","1","1","1","1","1","1","78","7","10",34,52,40,101334
"39","10","3","3","7","3","91","F","2","Y","N","N","N","Y","N","N","Y","72","7","15","3","3","727110","1","1","1","1","2","1","1","1","1","75","7","8",31,52,50,54500
"40","10","3","1","4","5","98","M","3","Y","N","Y","N","N","N","N","Y","56","5","15","4","4","567350","1","2","2","2","1","2","1","2","1","55","5","8",32,52,40,120000
"41","10","3","1","5","5","92","F","2","L","L","L","L","L","L","L","L","61","6","15","3","3","617900","1","1","2","2","1","2","1","1","2","77","7","8",31,52,40,75000
"42","10","3","3","6","5","90","M","1","L","L","L","L","L","L","L","L","61","6","18","2","2","617840","1","1","1","1","1","1","1","1","1","61","6","2",33,52,40,85000
"43","14","2","1","5","5","92","M","2","L","L","L","L","L","L","L","L","61","6","15","5","5","617900","3","1","1","1","1","3","2","1","1","22","2","7",34,52,40,71000
"44","11","3","2","1","1","249","F","1","L","L","L","L","L","L","L","L","61","6","L","4","2","617870","1","1","2","2","1","2","1","1","1","78","7","4",33,52,18,70000
"45","17","2","3","7","3","98","F","2","L","L","L","L","L","L","L","L","73","7","17","4","4","739100","1","1","2","2","2","2","1","1","2","72","7","7",31,52,40,84000
"46","01","1","2","3","5","90","M","2","L","L","L","L","L","L","L","L","62","6","18","3","5","627120","3","2","3","2","1","2","2","2","3","63","6","1",33,36,40,52000
"47","01","1","5","3","5","92","M","2","L","L","L","L","L","L","L","L","71","7","M","8","3","716530","1","1","1","1","1","1","1","1","1","11","1","6",33,52,40,110000
"48","10","3","3","6","1","93","F","2","L","L","L","L","L","L","L","L","64","6","15","4","3","646100","2","2","2","2","1","2","2","2","3","57","5","6",31,52,32,73600
"49","02","1","2","7","4","93","M","2","L","L","L","L","L","L","L","L","72","7","16","1","1","727030","2","1","2","1","3","2","1","1","2","75","7","5",34,40,35,135000
"50","10","3","3","3","1","93","M","2","L","L","L","L","L","L","L","L","71","7","18","2","3","716540","1","1","2","1","1","2","1","1","2","72","7","4",35,52,40,79208
"51","10","3","6","7","7","93","M","2","L","L","L","L","L","L","L","L","61","6","15","6","3","617860","2","1","2","2","1","2","1","1","1","61","6","9",34,52,60,135000
"52","10","3","6","3","4","93","F","2","L","L","L","L","L","L","L","L","73","7","15","5","2","739100","1","1","1","1","1","1","1","1","1","75","7","8",31,52,40,60000
"53","05","1","1","2","5","85","F","3","L","L","L","L","L","L","L","L","76","7","15","6","4","766620","1","1","2","2","1","3","1","1","3","48","4","10",33,40,50,80000
"54","11","3","6","6","1","93","F","1","L","L","L","L","L","L","L","L","22","2","16","3","4","226370","3","1","2","1","1","1","1","1","2","61","6","2",32,52,40,100000
"55","12","3","6","7","3","93","F","2","L","L","L","L","L","L","L","L","43","4","17","3","3","438910","2","2","2","1","1","2","1","1","1","75","7","10",32,50,15,40000
"56","03","1","1","1","1","93","M","3","L","L","L","L","L","L","L","L","32","3","15","2","2","328740","2","1","2","1","3","3","1","2","2","32","3","5",35,52,40,90000
"57","10","3","6","7","1","93","M","4","L","L","L","L","L","L","L","L","61","6","25","4","4","617860","2","2","2","2","2","2","2","2","2","61","6","9",33,52,40,220000
"58","10","3","4","3","4","93","F","1","L","L","L","L","L","L","L","L","57","5","15","2","1","577410","1","1","1","1","1","1","1","1","3","11","1","0",33,52,45,139000
"59","10","3","4","1","1","97","F","2","Y","Y","N","N","Y","N","N","Y","71","7","15","5","5","716530","1","1","1","1","1","1","1","1","1","41","4","7",29,52,60,175000
"60","10","3","5","1","1","93","M","1","L","L","L","L","L","L","L","L","54","5","18","4","4","547280","1","1","1","1","1","2","1","1","1","64","6","4",34,52,40,80300
"61","11","3","6","7","4","85","M","2","L","L","L","L","L","L","L","L","43","4","15","8","6","438920","2","1","2","2","2","3","1","2","2","75","7","8",32,52,40,45000
"62","10","3","6","7","4","93","F","1","L","L","L","L","L","L","L","L","22","2","16","2","3","226310","2","1","2","2","1","2","1","1","2","61","6","1",34,52,40,75700
"63","10","3","4","5","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","4","4","547280","2","1","2","2","2","2","1","1","1","54","5","7",33,52,40,180000
"64","10","3","4","7","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","4","4","547270","2","1","1","2","2","2","1","1","2","64","6","9",33,52,40,180000
"65","13","3","5","3","1","93","F","2","L","L","L","L","L","L","L","L","54","5","15","4","4","547280","1","1","1","1","2","2","1","1","2","54","5","2",33,52,40,170000
"66","10","3","1","4","1","93","M","3","L","L","L","L","L","L","L","L","31","3","15","6","4","318730","1","1","1","1","1","2","1","2","2","11","1","7",34,52,40,200000
"67","10","3","4","7","1","93","M","2","Y","Y","Y","N","N","N","N","N","11","1","18","5","5","116730","1","1","1","1","2","2","1","1","2","11","1","8",29,52,40,190550
"68","10","3","3","6","5","93","M","2","L","L","L","L","L","L","L","L","22","2","20","3","3","226310","1","1","1","1","1","1","1","1","2","62","6","9",35,52,60,165000
"69","11","3","1","4","5","98","F","3","L","L","L","L","L","L","L","L","43","4","15","6","2","438940","2","1","1","1","1","2","1","1","1","43","4","10",35,52,40,129000
"70","11","3","1","5","4","97","F","2","L","L","L","L","L","L","L","L","76","7","15","8","2","769010","2","1","1","1","2","3","1","2","1","43","4","8",30,52,50,78500
"71","10","3","5","1","7","92","M","2","L","L","L","L","L","L","L","L","56","5","16","5","4","567350","1","1","2","2","2","2","1","1","1","56","5","7",31,52,9,92000
"72","11","3","4","3","7","85","M","2","L","L","L","L","L","L","L","L","12","1","15","3","3","128410","3","1","3","2","2","3","2","2","2","11","1","8",30,52,40,107000
"73","10","3","4","7","1","93","M","2","L","L","L","L","L","L","L","L","32","3","L","2","2","328720","2","2","1","2","2","2","1","2","2","11","1","8",35,52,40,216000
"74","10","3","1","4","5","93","M","3","L","L","L","L","L","L","L","L","32","3","15","6","4","328720","1","1","2","2","1","2","2","1","1","32","3","8",32,52,40,140000
"75","03","1","1","2","5","98","M","3","L","L","L","L","L","L","L","L","73","7","15","6","5","738620","2","1","1","1","1","1","1","2","1","74","7","8",33,39,50,200000
"76","11","3","6","3","4","97","F","4","L","L","L","L","L","L","L","L","76","7","15","6","6","768100","1","2","1","1","1","1","2","1","1","78","7","3",34,52,60,98000
"77","10","3","4","5","1","98","M","2","L","L","L","L","L","L","L","L","53","5","15","5","3","537260","1","1","2","2","1","2","1","1","1","53","5","0",35,52,45,93000
"78","11","3","4","1","1","90","M","3","L","L","L","L","L","L","L","L","11","1","15","5","2","116710","1","2","1","1","1","1","1","2","1","11","1","9",33,52,40,129000
"79","10","3","4","1","1","97","M","3","L","L","L","L","L","L","L","L","12","1","15","4","2","128420","2","1","2","2","2","2","1","1","2","11","1","9",35,52,40,175000
"80","10","3","3","3","5","98","M","2","Y","N","N","N","N","Y","N","Y","71","7","15","5","4","716530","1","2","1","2","2","2","2","2","2","72","7","8",32,52,50,133000
"81","10","3","3","6","1","93","M","2","L","L","L","L","L","L","L","L","57","5","15","5","5","577300","1","1","1","1","1","1","1","1","1","53","5","3",34,52,46,96000
"82","10","3","5","3","1","93","M","1","L","L","L","L","L","L","L","L","71","7","M","4","8","716590","2","1","2","2","2","2","1","1","2","62","6","5",35,52,40,80000
"83","10","3","6","3","7","93","F","2","L","L","L","L","L","L","L","L","73","7","15","8","2","739100","2","1","2","1","1","2","1","2","2","75","7","9",31,52,40,75000
"84","10","3","4","7","4","87","M","1","L","L","L","L","L","L","L","L","54","5","15","5","4","547270","1","1","1","1","1","1","1","1","2","64","6","5",33,52,40,80000
"85","11","3","6","2","1","93","F","4","L","L","L","L","L","L","L","L","43","4","26","5","3","438940","2","1","1","1","1","2","1","1","1","61","6","6",31,52,40,125000
"86","10","3","3","3","5","88","F","1","L","L","L","L","L","L","L","L","41","4","15","3","5","416010","2","2","2","2","1","2","1","2","2","76","7","4",29,52,40,52000
"87","17","2","3","5","7","98","F","2","L","L","L","L","L","L","L","L","54","5","18","5","4","547270","1","1","1","1","1","1","1","1","1","55","5","0",35,52,40,110000
"88","17","2","3","1","5","90","F","2","L","L","L","L","L","L","L","L","51","5","16","3","4","517210","1","1","1","2","1","2","1","1","2","51","5","8",33,52,40,132945
"89","10","3","3","6","5","85","F","2","L","L","L","L","L","L","L","L","57","5","15","2","3","577410","1","1","1","2","1","2","1","1","3","72","7","6",32,52,50,145000
"90","10","3","4","3","1","85","M","2","L","L","L","L","L","L","L","L","54","5","16","5","4","547280","1","2","1","2","2","2","2","3","2","11","1","10",33,52,50,159000
"91","17","2","1","1","5","85","F","3","Y","Y","N","Y","N","Y","N","Y","43","4","15","4","4","438910","1","1","1","1","2","1","1","1","1","43","4","9",31,52,45,51000
"92","10","3","4","1","5","87","F","2","L","L","L","L","L","L","L","L","63","6","L","6","6","636720","2","1","2","2","1","2","1","2","2","11","1","10",35,52,40,142000
"93","10","3","3","6","4","97","M","2","L","L","L","L","L","L","L","L","71","7","15","5","5","716530","2","2","1","1","2","2","2","2","2","71","7","8",31,52,50,172000
"94","11","3","3","6","5","87","F","2","L","L","L","L","L","L","L","L","61","6","15","2","4","617900","2","1","1","1","3","1","1","1","1","61","6","9",35,52,50,123000
"95","10","3","1","3","5","87","M","2","L","L","L","L","L","L","L","L","54","5","16","4","6","547280","3","2","2","2","1","3","2","3","2","54","5","7",31,52,40,130000
"96","10","3","5","3","5","97","M","1","L","L","L","L","L","L","L","L","56","5","15","4","5","567350","2","1","2","2","1","2","1","1","2","56","5","5",31,52,40,140000
"97","10","3","3","1","5","93","M","3","Y","Y","N","N","N","Y","N","Y","56","5","15","4","5","567350","1","1","1","1","1","1","1","1","1","72","7","7",31,52,40,150000
"98","04","1","6","7","7","98","F","2","L","L","L","L","L","L","L","L","61","6","15","2","3","617860","2","1","2","2","1","2","1","1","2","61","6","8",33,52,42,110000
"99","10","3","1","1","5","87","M","1","L","L","L","L","L","L","L","L","54","5","15","2","4","547280","1","1","1","2","1","2","2","2","2","54","5","2",32,52,40,105000
"100","10","3","3","1","5","93","M","2","L","L","L","L","L","L","L","L","11","1","15","3","5","116730","1","1","1","2","1","1","1","1","2","71","7","9",31,52,50,200000
"101","10","3","1","1","5","88","F","3","L","L","L","L","L","L","L","L","22","2","15","7","5","226370","1","1","1","1","1","1","1","1","1","22","2","9",31,52,38,125000
"102","10","3","6","3","5","88","F","4","L","L","L","L","L","L","L","L","61","6","15","5","4","617860","1","2","1","1","1","1","2","2","1","62","6","10",33,52,80,240000
"103","13","3","3","3","1","85","M","1","L","L","L","L","L","L","L","L","22","2","18","1","1","226420","1","1","1","1","2","1","1","1","1","57","5","1",34,52,40,120000
"104","01","1","6","2","5","88","F","2","L","L","L","L","L","L","L","L","61","6","18","3","7","617810","2","1","2","1","2","2","1","1","1","61","6","8",34,52,45,48500
"105","01","1","2","3","5","92","M","3","Y","Y","N","N","N","Y","N","Y","22","2","15","2","3","226360","2","2","1","2","1","3","3","2","1","63","6","8",35,52,50,44000
"106","10","3","6","7","5","92","F","4","L","L","L","L","L","L","L","L","61","6","16","3","4","617860","2","1","1","1","1","1","1","1","1","61","6","9",31,47,55,450000
"107","10","3","6","3","5","97","M","2","L","L","L","L","L","L","L","L","75","7","15","3","2","757600","2","1","4","3","2","2","1","1","2","77","7","8",32,52,40,110500
"108","17","2","5","6","5","97","M","1","L","L","L","L","L","L","L","L","56","5","16","3","2","567350","1","2","1","1","2","1","2","2","1","56","5","0",33,52,45,126000
"109","10","3","1","5","1","97","M","2","L","L","L","L","L","L","L","L","12","1","18","6","6","128440","2","2","2","2","1","2","1","2","2","11","1","8",30,52,40,92700
"110","10","3","6","7","4","97","M","1","L","L","L","L","L","L","L","L","56","5","22","3","2","567350","2","1","2","1","2","2","1","1","1","64","6","4",34,52,35,70000
"111","10","3","3","1","4","97","M","2","L","L","L","L","L","L","L","L","54","5","19","5","5","547280","2","1","1","1","1","2","1","2","1","54","5","10",34,52,40,137000
"112","10","3","1","3","5","98","M","2","L","L","L","L","L","L","L","L","31","3","15","5","5","318730","1","1","1","1","2","1","1","1","1","57","5","10",33,52,45,90000
"113","10","3","3","1","5","93","F","2","L","L","L","L","L","L","L","L","32","3","15","6","6","328740","1","1","2","1","1","2","1","2","2","72","7","5",30,52,40,126000
"114","10","3","6","1","5","98","M","3","L","L","L","L","L","L","L","L","31","3","15","2","2","318730","2","2","1","1","1","1","2","2","1","31","3","9",32,52,40,125000
"115","10","3","4","7","1","93","F","3","L","L","L","L","L","L","L","L","12","1","15","4","5","128440","1","1","1","3","1","3","1","1","1","11","1","5",32,52,40,180000
"116","03","1","1","2","4","97","M","3","L","L","L","L","L","L","L","L","43","4","15","2","3","438960","1","2","1","1","2","2","1","1","2","48","4","8",35,52,50,85513
"117","17","2","1","1","1","98","F","3","Y","Y","N","N","Y","N","N","Y","22","2","16","3","2","226370","2","1","2","2","1","2","2","1","2","22","2","9",32,52,40,115000
"118","11","3","6","2","5","87","M","2","L","L","L","L","L","L","L","L","61","6","15","5","5","617860","2","1","1","1","2","1","1","1","1","61","6","10",35,52,40,190000
"119","10","3","3","1","5","87","M","2","L","L","L","L","L","L","L","L","56","5","15","4","4","567350","2","1","2","2","1","2","1","1","2","56","5","10",35,52,42,115000
"120","10","3","3","4","4","87","M","2","L","L","L","L","L","L","L","L","11","1","15","5","3","116710","1","3","2","2","2","1","1","2","3","71","7","4",35,52,45,450000
"121","14","2","3","1","5","93","F","2","L","L","L","L","L","L","L","L","61","6","15","3","4","617900","2","2","2","2","1","2","2","1","2","22","2","9",35,52,40,109000
"122","13","3","1","7","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","4","4","547270","1","1","2","1","1","1","1","1","3","54","5","7",34,52,40,131000
"123","12","3","6","3","5","97","F","3","L","L","L","L","L","L","L","L","43","4","16","5","4","438940","2","2","2","1","2","2","2","2","2","61","6","8",33,52,40,90000
"124","10","3","3","5","5","98","M","1","L","L","L","L","L","L","L","L","53","5","M","4","4","537260","3","1","3","2","1","3","1","1","2","53","5","5",31,52,40,87000
"125","10","3","6","1","5","85","F","2","L","L","L","L","L","L","L","L","61","6","15","3","3","617870","2","1","2","2","2","2","1","1","1","61","6","10",35,52,39,140000
"126","10","3","5","1","5","93","F","2","L","L","L","L","L","L","L","L","64","6","15","5","5","646100","4","1","4","2","2","3","1","1","4","65","6","6",35,52,50,85000
"127","15","2","3","3","5","90","M","2","L","L","L","L","L","L","L","L","53","5","15","6","6","537260","2","1","2","2","2","2","1","1","3","53","5","2",32,52,37,72000
"128","10","3","1","3","5","90","M","2","L","L","L","L","L","L","L","L","62","6","15","4","4","627090","1","1","1","1","1","1","1","1","1","64","6","6",35,52,40,105000
"129","12","3","3","3","1","92","F","2","Y","Y","N","Y","Y","Y","N","Y","71","7","15","4","4","716550","1","1","1","1","1","1","1","1","1","71","7","8",33,52,40,60000
"130","10","3","4","1","5","91","F","1","L","L","L","L","L","L","L","L","12","1","M","5","4","128420","2","1","2","2","1","2","1","1","2","11","1","5",35,52,40,125000
"131","12","3","3","1","5","91","M","1","L","L","L","L","L","L","L","L","76","7","16","5","4","766820","2","1","2","1","3","2","1","1","3","78","7","1",33,52,50,45000
"132","01","1","2","7","4","91","F","2","Y","Y","N","N","N","Y","N","Y","31","3","M","1","1","318730","1","1","1","1","1","1","1","1","1","63","6","0",33,52,42,60000
"133","10","3","3","1","1","91","F","2","L","L","L","L","L","L","L","L","71","7","15","3","2","716530","1","1","1","1","1","2","1","1","2","56","5","7",33,52,40,120000
"134","10","3","5","1","5","88","M","2","L","L","L","L","L","L","L","L","53","5","15","4","4","537260","2","1","2","2","1","3","1","1","2","53","5","8",32,52,40,125000
"135","17","2","6","3","5","98","M","2","L","L","L","L","L","L","L","L","42","4","15","6","6","429270","1","1","2","1","1","1","1","2","1","42","4","10",31,52,50,155000
"136","10","3","4","3","5","98","M","2","L","L","L","L","L","L","L","L","11","1","15","5","5","116730","2","1","2","1","1","4","1","1","4","11","1","6",32,52,48,159000
"137","10","3","4","3","4","93","M","1","L","L","L","L","L","L","L","L","54","5","L","5","4","547270","1","1","1","1","2","2","1","1","1","54","5","1",32,52,50,186054
"138","10","3","5","4","1","93","F","2","L","L","L","L","L","L","L","L","11","1","15","4","4","116710","1","1","1","1","1","1","1","1","1","11","1","8",33,52,45,121000
"139","11","3","3","1","1","93","F","1","L","L","L","L","L","L","L","L","11","1","18","2","1","116760","1","1","2","2","1","2","1","1","4","11","1","4",32,52,40,86000
"140","12","3","3","1","1","90","M","2","L","L","L","L","L","L","L","L","51","5","15","2","1","517210","1","1","1","1","1","1","1","1","1","51","5","10",34,52,50,115000
"141","17","2","1","4","5","92","M","3","L","L","L","L","L","L","L","L","51","5","15","7","4","517210","1","1","1","2","2","2","1","1","1","33","3","7",31,52,40,153000
"142","11","3","6","7","5","91","F","1","L","L","L","L","L","L","L","L","61","6","18","3","2","617870","1","1","1","1","1","1","1","1","2","61","6","4",34,52,24,47000
"143","03","1","4","1","1","97","M","3","Y","Y","N","N","N","Y","N","Y","11","1","15","5","5","116710","1","1","1","1","1","2","1","1","1","11","1","10",33,52,60,80000
"144","10","3","4","7","7","93","M","1","L","L","L","L","L","L","L","L","54","5","15","4","4","547280","2","1","1","1","1","2","1","2","2","11","1","0",34,52,40,290000
"145","10","3","6","1","4","93","F","2","L","L","L","L","L","L","L","L","61","6","18","3","3","617810","2","1","3","2","2","2","1","2","1","61","6","9",31,52,35,106000
"146","11","3","6","7","4","93","F","1","L","L","L","L","L","L","L","L","73","7","18","1","1","739100","2","1","2","1","2","2","1","1","1","75","7","3",34,52,36,55000
"147","01","1","2","3","4","93","M","2","L","L","L","L","L","L","L","L","72","7","17","1","1","727130","2","1","4","2","2","2","1","2","2","63","6","9",34,52,35,102000
"148","10","3","6","3","5","98","F","1","L","L","L","L","L","L","L","L","51","5","18","3","4","517210","1","1","1","1","1","1","2","1","1","51","5","2",35,52,40,78000
"149","10","3","3","3","7","93","M","1","L","L","L","L","L","L","L","L","23","2","18","4","3","236800","1","1","2","2","1","2","1","2","2","64","6","1",34,52,45,75920
"150","10","3","6","3","1","93","F","2","L","L","L","L","L","L","L","L","22","2","15","2","4","226320","1","1","1","1","1","2","1","1","1","61","6","10",33,52,60,160000
"151","05","1","2","1","7","97","M","3","L","L","L","L","L","L","L","L","75","7","15","5","4","758200","2","2","1","1","1","2","1","1","1","74","7","9",32,52,30,56000
"152","15","2","4","5","5","93","M","1","L","L","L","L","L","L","L","L","41","4","17","4","6","419230","1","1","1","1","1","2","1","1","3","11","1","2",32,52,40,100000
"153","10","3","6","3","5","93","M","1","L","L","L","L","L","L","L","L","53","5","15","5","5","537260","1","2","1","2","1","1","1","2","2","53","5","2",34,52,45,140000
"154","10","3","3","3","1","87","F","2","L","L","L","L","L","L","L","L","71","7","15","2","1","716530","1","1","1","1","1","1","1","1","2","76","7","7",31,52,50,131000
"155","10","3","3","3","5","93","M","2","L","L","L","L","L","L","L","L","11","1","L","4","5","116730","2","3","1","1","1","1","2","2","3","62","6","7",32,52,40,250000
"156","10","3","4","3","5","93","M","2","L","L","L","L","L","L","L","L","51","5","15","4","7","517210","1","1","1","1","1","1","1","2","1","11","1","10",34,52,60,330000
"157","11","3","6","3","3","85","F","1","L","L","L","L","L","L","L","L","44","4","18","2","4","449290","2","2","2","2","2","2","2","2","2","75","7","1",33,52,40,51000
"158","10","3","1","4","5","93","F","3","L","L","L","L","L","L","L","L","41","4","15","3","4","419230","1","1","1","1","1","1","1","1","1","72","7","10",33,52,45,120000
"159","04","1","6","6","1","98","F","1","L","L","L","L","L","L","L","L","22","2","15","7","4","226320","1","1","1","2","1","2","2","2","2","43","4","2",32,52,80,29000
"160","10","3","5","3","5","93","M","1","L","L","L","L","L","L","L","L","51","5","18","2","2","517210","2","1","2","1","2","3","1","2","3","51","5","3",34,52,40,105000
"161","03","1","1","7","5","90","F","2","L","L","L","L","L","L","L","L","22","2","18","2","2","226320","1","1","2","2","2","2","1","1","2","22","2","9",32,52,60,26000
"162","10","3","6","3","4","98","F","4","L","L","L","L","L","L","L","L","76","7","15","2","2","768100","1","1","2","1","1","2","1","1","2","78","7","10",33,52,10,163000
"163","13","3","1","4","1","98","F","3","Y","N","N","N","N","Y","N","Y","11","1","15","4","4","116730","2","1","1","2","1","2","1","2","2","21","2","10",32,52,60,65400
"164","04","1","1","4","1","91","M","3","L","L","L","L","L","L","L","L","22","2","15","3","5","226360","1","1","1","2","2","1","1","1","1","22","2","9",35,52,40,69422
"165","10","3","5","4","5","98","M","2","L","L","L","L","L","L","L","L","54","5","15","7","4","547280","2","1","1","1","1","1","1","1","2","54","5","8",35,52,40,200000
"166","17","2","1","3","5","87","F","3","Y","Y","N","N","N","N","N","Y","43","4","16","3","4","438960","2","2","1","1","2","1","2","1","1","43","4","9",31,52,40,71099
"167","14","2","1","6","4","87","F","2","L","L","L","L","L","L","L","L","73","7","26","1","1","739100","1","1","1","2","1","2","1","1","1","75","7","9",32,52,40,40760
"168","10","3","5","3","5","87","M","1","L","L","L","L","L","L","L","L","52","5","15","4","4","527250","2","1","1","1","1","1","1","1","1","57","5","4",33,52,40,102062
"169","03","1","2","1","5","97","F","3","L","L","L","L","L","L","L","L","72","7","16","4","3","727130","2","1","2","2","2","2","2","1","2","48","4","10",33,52,40,63000
