"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"12875","10","3","6","7","4","91","M","1","L","L","L","L","L","L","L","L","61","6","15","3","3","617870","1","1","1","1","1","1","1","1","1","61","6","1",19,52,40,75000
"12876","10","3","5","3","5","91","F","1","L","L","L","L","L","L","L","L","57","5","15","5","4","577400","2","1","1","2","3","2","1","1","4","71","7","0",24,52,40,145000
"12877","10","3","5","3","4","91","F","1","L","L","L","L","L","L","L","L","53","5","15","5","5","537260","2","1","1","1","1","2","1","1","2","53","5","3",24,52,20,90000
"12878","10","3","3","6","5","91","M","2","L","L","L","L","L","L","L","L","71","7","15","8","8","716540","1","1","4","4","4","4","1","1","4","72","7","1",25,52,50,90000
"12879","01","1","2","3","4","91","F","1","L","L","L","L","L","L","L","L","72","7","15","1","1","727050","2","1","2","2","1","2","1","1","2","73","7","1",25,36,50,60000
"12880","10","3","1","3","4","91","F","1","L","L","L","L","L","L","L","L","11","1","15","4","5","116730","1","1","1","2","1","2","1","1","2","11","1","0",24,52,45,82000
"12881","10","3","4","1","4","91","M","1","L","L","L","L","L","L","L","L","11","1","18","3","2","116730","1","1","1","1","1","1","1","1","1","11","1","1",21,52,40,100000
"12882","01","1","2","3","4","91","F","2","L","L","L","L","L","L","L","L","72","7","15","3","2","727050","1","1","2","2","2","2","1","2","1","73","7","3",26,52,45,60000
"12883","01","1","6","1","5","91","F","2","L","L","L","L","L","L","L","L","61","6","16","5","4","617810","4","2","1","2","2","4","1","1","1","61","6","2",23,38,45,58500
"12884","10","3","6","3","5","91","F","4","L","L","L","L","L","L","L","L","61","6","15","3","1","617880","2","1","2","1","1","2","1","1","1","62","6","4",29,52,40,150000
"12885","10","3","1","5","4","91","M","2","L","L","L","L","L","L","L","L","11","1","L","4","4","116730","2","1","1","2","2","2","1","1","2","64","6","7",35,52,40,137000
"12886","03","1","4","5","4","91","M","2","L","L","L","L","L","L","L","L","53","5","15","4","4","537260","1","2","2","2","1","2","2","2","2","53","5","1",23,52,25,30000
"12887","13","3","5","6","4","91","M","1","L","L","L","L","L","L","L","L","56","5","17","8","8","567350","1","1","1","1","1","1","1","1","1","56","5","3",23,52,43,70000
"12888","05","1","1","3","5","91","M","2","L","L","L","L","L","L","L","L","56","5","18","5","3","567350","1","1","1","1","2","1","1","1","1","32","3","8",31,52,40,143000
"12889","10","3","3","6","5","92","M","1","L","L","L","L","L","L","L","L","56","5","15","5","2","567350","2","2","1","1","1","1","1","1","2","57","5","0",22,52,47,74000
"12890","10","3","5","1","5","92","M","1","L","L","L","L","L","L","L","L","56","5","15","4","5","567350","1","1","2","2","2","3","1","1","3","56","5","0",23,52,45,75000
"12891","14","2","1","4","5","92","M","2","L","L","L","L","L","L","L","L","61","6","15","4","3","617900","2","1","1","1","1","2","1","1","1","22","2","8",32,52,40,70000
"12892","03","1","1","1","5","92","F","3","L","L","L","L","L","L","L","L","12","1","15","1","2","128420","1","2","1","1","1","3","2","2","3","18","1","5",26,52,70,60000
"12893","10","3","3","6","5","92","F","2","L","L","L","L","L","L","L","L","54","5","15","4","3","547280","1","2","1","1","1","1","2","2","1","54","5","6",28,52,45,131000
"12894","10","3","6","3","5","92","M","2","L","L","L","L","L","L","L","L","53","5","15","4","3","537260","2","1","3","2","2","3","1","2","3","53","5","1",26,52,40,85000
"12895","10","3","4","7","1","92","M","1","L","L","L","L","L","L","L","L","11","1","15","2","3","116730","2","1","2","3","1","2","1","2","3","11","1","0",25,52,40,120000
"12896","02","1","1","5","5","92","M","2","L","L","L","L","L","L","L","L","76","7","16","4","3","768500","2","1","2","2","2","2","2","1","2","12","1","4",28,52,30,39000
"12897","10","3","4","3","5","92","M","2","L","L","L","L","L","L","L","L","11","1","16","4","3","116760","1","1","1","2","1","2","1","1","2","11","1","0",24,52,40,110000
"12898","10","3","6","3","4","92","M","4","L","L","L","L","L","L","L","L","61","6","15","1","4","617880","2","1","2","2","2","2","1","1","2","61","6","4",35,52,32,125000
"12899","10","3","4","1","4","98","F","1","L","L","L","L","L","L","L","L","11","1","15","4","3","116730","3","1","2","3","2","3","1","1","3","11","1","1",25,52,40,93000
"12900","17","2","6","3","1","98","M","2","L","L","L","L","L","L","L","L","52","5","15","8","8","527250","2","1","2","2","1","2","1","2","2","12","1","4",28,52,40,115000
"12901","10","3","6","7","3","93","M","2","L","L","L","L","L","L","L","L","31","3","15","4","5","318730","2","2","2","2","1","2","2","2","2","61","6","6",30,52,40,57000
"12902","10","3","3","3","5","98","M","2","L","L","L","L","L","L","L","L","71","7","17","5","4","716530","1","2","2","1","1","1","1","2","2","62","6","7",31,52,50,130000
"12903","01","1","6","6","3","98","F","2","L","L","L","L","L","L","L","L","61","6","15","6","4","617810","3","2","2","1","1","2","2","1","1","61","6","5",27,48,45,65000
"12904","17","2","6","1","5","98","M","2","L","L","L","L","L","L","L","L","41","4","15","5","4","419230","2","1","2","1","1","3","1","2","2","41","4","9",31,52,40,119482
"12905","10","3","4","5","4","97","M","1","L","L","L","L","L","L","L","L","54","5","15","5","3","547280","2","1","1","2","1","2","1","2","1","11","1","3",26,52,40,99724
"12906","10","3","6","1","1","98","M","1","L","L","L","L","L","L","L","L","22","2","15","5","5","226320","2","1","3","2","2","2","1","1","2","64","6","0",23,52,40,56000
"12907","10","3","4","1","5","98","M","1","L","L","L","L","L","L","L","L","11","1","15","8","8","116730","2","1","3","2","2","3","1","1","2","64","6","4",28,52,40,75000
"12908","10","3","5","1","5","98","F","2","L","L","L","L","L","L","L","L","21","2","15","4","4","216050","1","1","1","1","1","2","2","1","2","56","5","8",27,52,45,120750
"12909","10","3","5","3","1","98","F","1","L","L","L","L","L","L","L","L","11","1","15","7","7","116730","1","1","2","2","2","2","1","1","2","11","1","2",22,52,40,120000
"12910","03","1","2","3","5","88","F","3","L","L","L","L","L","L","L","L","21","2","15","3","4","216080","2","1","2","2","3","3","1","2","2","28","2","7",27,36,45,55000
"12911","10","3","4","1","1","98","F","1","L","L","L","L","L","L","L","L","11","1","15","3","4","116730","2","2","2","1","2","2","1","2","2","11","1","3",24,52,40,119000
"12912","10","3","1","1","1","98","M","1","L","L","L","L","L","L","L","L","54","5","15","3","3","547270","2","1","1","2","2","2","1","2","2","11","1","0",23,52,40,103000
"12913","01","1","2","3","1","98","F","2","L","L","L","L","L","L","L","L","62","6","15","5","4","627060","2","1","2","2","2","2","1","1","2","63","6","2",24,40,50,58000
"12914","06","1","6","7","5","98","M","2","L","L","L","L","L","L","L","L","71","7","15","4","5","716590","2","2","1","2","1","2","2","2","1","78","7","4",25,52,40,86100
